imageid,image_path,transfertime,inference_time
d02087e4-503c-469e-872d-15c148056948,data\input_folder\000000000001.jpg,0.22197175025939941,0.17606258392333984
b36d8b72-e82f-4543-a07f-b13f64b24c1d,data\input_folder\000000000016.jpg,0.07582402229309082,0.03671908378601074
ae1d7e60-9d25-45f1-a089-aeb5220e410b,data\input_folder\000000000019.jpg,0.07741498947143555,0.03862810134887695
140e0d59-ca6d-45d1-9953-11d79f818807,data\input_folder\000000000057.jpg,0.07009243965148926,0.037671804428100586
20216941-31dd-4113-aa5e-2c24d4041255,data\input_folder\000000000063.jpg,0.06949758529663086,0.035779714584350586
dd1e845b-4380-4fdb-90cc-c21f943308dc,data\input_folder\000000000069.jpg,0.07218480110168457,0.03807377815246582
1fe09ac0-c037-4050-b939-f73e60db35bc,data\input_folder\000000000080.jpg,0.06931376457214355,0.038182973861694336
0861b981-13c5-480f-ba38-7d069700805f,data\input_folder\000000000090.jpg,0.07702279090881348,0.041646480560302734
eace9c65-8ae3-47f0-8049-5899fc645985,data\input_folder\000000000106.jpg,0.07305455207824707,0.03961658477783203
e09a6c65-99aa-4a79-8f47-b76dc85cf5d2,data\input_folder\000000000108.jpg,0.07404875755310059,0.03767704963684082
7daa21e1-8860-47be-9a29-ba9521299de0,data\input_folder\000000000128.jpg,0.0705416202545166,0.03692317008972168
e30b678c-e1df-4dc7-be24-8f635648b3ca,data\input_folder\000000000155.jpg,0.06527447700500488,0.03534197807312012
14ee2ba3-2362-4f3b-91ab-46d95963d9fd,data\input_folder\000000000161.jpg,0.0685110092163086,0.035283565521240234
b37d7bfe-b8fe-4952-a806-24fc8ceb6ea5,data\input_folder\000000000171.jpg,0.06369543075561523,0.03595161437988281
550f36fc-978b-4896-92a2-85182d548302,data\input_folder\000000000178.jpg,0.06938576698303223,0.03689241409301758
65f152ae-c029-4447-b400-ff5c00fbd36e,data\input_folder\000000000180.jpg,0.07214188575744629,0.033872365951538086
dd5fc91a-c13f-4c36-aa3a-e2146393d853,data\input_folder\000000000183.jpg,0.06581854820251465,0.0362706184387207
b36f755e-9f11-45b8-a74a-7dcfc3aaf76b,data\input_folder\000000000188.jpg,0.07869768142700195,0.045139312744140625
a053a3ef-ac48-4562-9e5d-c4233c117470,data\input_folder\000000000191.jpg,0.08274602890014648,0.049141883850097656
